timestamp,id,action
2024-01-26 15:52:13.243282,1,entered_valid_credentials
2024-01-26 15:55:36.498482,1,entered_valid_credentials
2024-01-26 15:56:00.168498,1,entered_valid_totp
2024-01-27 06:53:33.817463,1,entered_valid_credentials
2024-01-27 06:57:38.274855,1,entered_valid_credentials
2024-01-27 06:58:37.766615,1,entered_valid_credentials
2024-01-27 07:01:22.885826,1,entered_valid_credentials
2024-01-27 07:02:02.419761,1,entered_valid_totp
2024-01-27 07:20:29.696904,1,entered_valid_credentials
2024-01-27 07:20:50.181468,1,entered_valid_totp
2024-01-27 07:22:04.955121,1,entered_valid_credentials
2024-01-27 16:15:32.327793,2,entered_valid_credentials
2024-01-27 16:17:25.890560,2,entered_valid_credentials
2024-01-27 16:18:52.400096,2,entered_valid_credentials
2024-01-27 16:18:59.517135,2,entered_valid_totp
2024-01-28 07:42:51.229797,3,entered_valid_credentials
2024-01-28 07:43:23.054586,3,entered_valid_credentials
2024-01-28 07:43:31.362068,3,entered_valid_totp
2024-01-28 07:54:13.721432,1,entered_valid_credentials
2024-01-28 07:54:29.353354,1,entered_valid_totp
2024-01-28 07:59:06.223288,1,entered_valid_credentials
2024-01-28 07:59:56.433602,1,entered_valid_totp
2024-01-28 17:17:16.102363,2,entered_valid_credentials
2024-01-28 17:17:30.995587,2,entered_valid_totp
2024-01-28 22:12:13.745843,4,entered_valid_credentials
2024-01-28 22:12:21.874555,4,entered_valid_totp
2024-01-29 08:01:01.551398,2,entered_valid_credentials
2024-01-29 08:01:14.725473,2,entered_valid_totp
2024-01-29 08:06:14.241738,1,entered_valid_credentials
2024-01-29 08:07:45.203576,1,entered_valid_credentials
2024-01-29 08:08:11.909567,1,entered_valid_totp
2024-01-29 08:10:23.251449,1,entered_valid_credentials
2024-01-29 08:10:42.256853,1,entered_valid_totp
2024-01-29 09:21:18.542404,3,entered_valid_credentials
2024-01-29 09:21:23.133345,3,entered_valid_totp
2024-01-29 09:40:32.784295,4,entered_valid_credentials
2024-01-29 09:40:54.477787,4,entered_valid_totp
2024-01-29 10:04:17.002359,5,entered_valid_credentials
2024-01-29 10:05:20.836292,5,entered_valid_totp
2024-01-30 07:01:01.269558,1,entered_valid_credentials
2024-01-30 07:01:23.470607,1,entered_valid_totp
2024-01-30 07:41:15.156081,2,entered_valid_credentials
2024-01-30 07:41:24.337592,2,entered_valid_totp
2024-01-30 07:45:07.976136,5,entered_valid_credentials
2024-01-30 07:45:48.230371,5,entered_valid_totp
2024-01-30 09:15:26.421553,4,entered_valid_credentials
2024-01-30 09:15:32.206593,4,entered_valid_totp
2024-01-30 16:20:30.239821,6,entered_valid_credentials
2024-01-30 16:21:20.379184,6,entered_valid_totp
2024-01-30 20:32:38.637340,3,entered_valid_credentials
2024-01-30 20:32:44.358230,3,entered_valid_totp
2024-01-31 06:56:28.624404,2,entered_valid_credentials
2024-01-31 06:59:19.741213,2,entered_valid_credentials
2024-01-31 06:59:25.747045,2,entered_valid_totp
2024-01-31 07:01:15.288008,2,entered_valid_credentials
2024-01-31 10:00:38.649620,4,entered_valid_credentials
2024-01-31 10:00:45.753064,4,entered_valid_totp
2024-01-31 12:06:21.757260,5,entered_valid_credentials
2024-01-31 12:06:52.553136,5,entered_valid_totp
2024-01-31 16:03:20.766186,1,entered_valid_credentials
2024-01-31 16:03:36.812279,1,entered_valid_totp
2024-01-31 18:45:24.011613,6,entered_valid_credentials
2024-01-31 18:45:32.496899,6,entered_valid_totp
2024-02-01 04:48:19.268206,1,entered_valid_credentials
2024-02-01 04:48:44.563744,1,entered_valid_totp
2024-02-01 04:50:23.102066,1,entered_valid_credentials
2024-02-01 04:50:41.750538,1,entered_valid_totp
2024-02-01 09:13:43.128420,4,entered_valid_credentials
2024-02-01 09:14:21.688156,4,entered_valid_credentials
2024-02-01 09:14:28.152464,4,entered_valid_totp
2024-02-01 16:39:01.926849,6,entered_valid_credentials
2024-02-01 16:39:12.448315,6,entered_valid_totp
2024-02-01 16:58:09.098752,5,entered_valid_credentials
2024-02-01 17:00:07.005081,5,entered_valid_totp
2024-02-01 17:18:19.139321,7,entered_valid_credentials
2024-02-01 17:18:27.860339,7,entered_valid_totp
2024-02-01 19:19:18.656848,2,entered_valid_credentials
2024-02-01 19:20:13.619629,2,entered_valid_credentials
2024-02-01 19:20:19.201965,2,entered_valid_totp
2024-02-01 19:22:24.342364,2,entered_valid_credentials
2024-02-02 07:04:46.061369,8,entered_valid_credentials
2024-02-02 07:04:51.093414,8,entered_valid_totp
2024-02-02 07:06:58.190509,9,entered_valid_credentials
2024-02-02 07:07:47.416544,9,entered_valid_totp
2024-02-02 11:11:16.121556,5,entered_valid_credentials
2024-02-02 11:12:11.440562,5,entered_invalid_totp
2024-02-02 11:12:49.003491,5,entered_valid_totp
2024-02-02 15:01:00.733626,6,entered_valid_credentials
2024-02-02 15:01:09.341137,6,entered_valid_totp
