timestamp,id,action,group,date
2024-01-26 15:52:13.243282,1,entered_valid_credentials,1,2024-01-26
2024-01-26 15:55:36.498482,1,entered_valid_credentials,1,2024-01-26
2024-01-26 15:56:00.168498,1,entered_valid_totp,1,2024-01-26
2024-01-27 06:53:33.817463,1,entered_valid_credentials,2,2024-01-27
2024-01-27 06:57:38.274855,1,entered_valid_credentials,2,2024-01-27
2024-01-27 06:58:37.766615,1,entered_valid_credentials,2,2024-01-27
2024-01-27 07:01:22.885826,1,entered_valid_credentials,2,2024-01-27
2024-01-27 07:02:02.419761,1,entered_valid_totp,2,2024-01-27
2024-01-27 07:20:29.696904,1,entered_valid_credentials,2,2024-01-27
2024-01-27 07:20:50.181468,1,entered_valid_totp,2,2024-01-27
2024-01-27 07:22:04.955121,1,entered_valid_credentials,2,2024-01-27
2024-01-28 07:54:13.721432,1,entered_valid_credentials,3,2024-01-28
2024-01-28 07:54:29.353354,1,entered_valid_totp,3,2024-01-28
2024-01-28 07:59:06.223288,1,entered_valid_credentials,3,2024-01-28
2024-01-28 07:59:56.433602,1,entered_valid_totp,3,2024-01-28
2024-01-29 08:06:14.241738,1,entered_valid_credentials,4,2024-01-29
2024-01-29 08:07:45.203576,1,entered_valid_credentials,4,2024-01-29
2024-01-29 08:08:11.909567,1,entered_valid_totp,4,2024-01-29
2024-01-29 08:10:23.251449,1,entered_valid_credentials,4,2024-01-29
2024-01-29 08:10:42.256853,1,entered_valid_totp,4,2024-01-29
2024-01-30 07:01:01.269558,1,entered_valid_credentials,5,2024-01-30
2024-01-30 07:01:23.470607,1,entered_valid_totp,5,2024-01-30
2024-01-31 16:03:20.766186,1,entered_valid_credentials,6,2024-01-31
2024-01-31 16:03:36.812279,1,entered_valid_totp,6,2024-01-31
2024-01-27 16:15:32.327793,2,entered_valid_credentials,8,2024-01-27
2024-01-27 16:17:25.890560,2,entered_valid_credentials,8,2024-01-27
2024-01-27 16:18:52.400096,2,entered_valid_credentials,8,2024-01-27
2024-01-27 16:18:59.517135,2,entered_valid_totp,8,2024-01-27
2024-01-28 17:17:16.102363,2,entered_valid_credentials,9,2024-01-28
2024-01-28 17:17:30.995587,2,entered_valid_totp,9,2024-01-28
2024-01-29 08:01:01.551398,2,entered_valid_credentials,10,2024-01-29
2024-01-29 08:01:14.725473,2,entered_valid_totp,10,2024-01-29
2024-01-30 07:41:15.156081,2,entered_valid_credentials,11,2024-01-30
2024-01-30 07:41:24.337592,2,entered_valid_totp,11,2024-01-30
2024-01-31 06:56:28.624404,2,entered_valid_credentials,12,2024-01-31
2024-01-31 06:59:19.741213,2,entered_valid_credentials,12,2024-01-31
2024-01-31 06:59:25.747045,2,entered_valid_totp,12,2024-01-31
2024-01-31 07:01:15.288008,2,entered_valid_credentials,12,2024-01-31
2024-02-01 19:19:18.656848,2,entered_valid_credentials,13,2024-02-01
2024-02-01 19:20:13.619629,2,entered_valid_credentials,13,2024-02-01
2024-02-01 19:20:19.201965,2,entered_valid_totp,13,2024-02-01
2024-02-01 19:22:24.342364,2,entered_valid_credentials,13,2024-02-01
2024-01-28 07:42:51.229797,3,entered_valid_credentials,15,2024-01-28
2024-01-28 07:43:23.054586,3,entered_valid_credentials,15,2024-01-28
2024-01-28 07:43:31.362068,3,entered_valid_totp,15,2024-01-28
2024-01-29 09:21:18.542404,3,entered_valid_credentials,16,2024-01-29
2024-01-29 09:21:23.133345,3,entered_valid_totp,16,2024-01-29
2024-01-30 20:32:38.637340,3,entered_valid_credentials,17,2024-01-30
2024-01-30 20:32:44.358230,3,entered_valid_totp,17,2024-01-30
2024-02-02 22:49:57.904652,3,entered_valid_credentials,18,2024-02-02
2024-02-02 22:50:03.368167,3,entered_valid_totp,18,2024-02-02
2024-02-03 08:48:09.018949,3,entered_valid_credentials,19,2024-02-03
